Datum;Zeit;Lot-Nr.;Subsystem;Ereignis & Massnahme;Visum
01.01.2025;04:48;30983000;52003.001;Werkzeug gereinigt und geschmiert;WS
01.01.2025;07:16;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;MR
01.01.2025;09:50;30983000;52003.001;Operator meldet Farbumschlag nicht sauber, Geraet gereinigt.;OM
01.01.2025;10:22;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;WS
01.01.2025;10:31;30983000;52003.001;Stoerung Materialfoerderung;MR
01.01.2025;11:24;30983000;52003.001;Stoerung: Auswerfer faehrt nicht, Reset noetig.;GS
01.01.2025;14:56;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;DR
01.01.2025;17:33;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;PB
01.01.2025;17:50;30983000;52003.001;Stoerung: Duese leckt minimal, kurzer Stillstand zum Abdichten.;WS
01.01.2025;18:34;30983000;52003.001;Musterung;SR
01.01.2025;19:52;30983000;52003.001;Musterung;DN
01.01.2025;22:38;30983000;52003.001;Werkzeug gereinigt und geschmiert;AJ
01.01.2025;23:09;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;AP
02.01.2025;02:23;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;GS
02.01.2025;03:14;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;IS
02.01.2025;07:09;30983000;52003.001;Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.;EL
02.01.2025;12:12;30983000;52003.001;Musterung;SR
02.01.2025;13:19;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;AP
02.01.2025;13:35;30983000;52003.001;Ausschuss-Erfassung: 0;ML
02.01.2025;14:32;30983000;52003.001;Teileauswurf leicht verzoegert, Mechanik geoelt.;SK
02.01.2025;17:30;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;AP
02.01.2025;17:54;30983000;52003.001;Routinekontrolle Temperiergeraet T1. Temperatur stabil.;WS
02.01.2025;19:17;30983000;52003.001;Werkzeug gereinigt und geschmiert;DR
02.01.2025;22:03;30983000;52003001;Schichtübergabe;DN
02.01.2025;23:41;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;DR
03.01.2025;02:25;30983000;52003.001;Stoerung: Auswerfer faehrt nicht, Reset noetig.;DN
03.01.2025;02:32;30983000;52003.001;Werkzeug gereinigt und geschmiert;SR
03.01.2025;03:46;30983000;52003.001;Prozessdaten minimal angepasst wegen Stoerung (Genehmigung liegt vor).;WS
03.01.2025;06:25;30983000;52003.001;Werkzeug gereinigt und geschmiert;OM
03.01.2025;07:07;30983000;52003.001;Werkzeug gereinigt und geschmiert;IS
03.01.2025;07:25;30983000;52003.001;Musterung;WS
03.01.2025;08:28;30983000;52003.001;Teileauswurf leicht verzoegert, Mechanik geoelt.;GS
03.01.2025;09:37;30983000;52003.001;Stoerung Materialfoerderung;MR
03.01.2025;17:39;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;EL
03.01.2025;18:49;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;AP
03.01.2025;20:08;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;ML
03.01.2025;20:33;30983000;52003.001;Stoerung Materialfoerderung;WS
03.01.2025;21:49;30983000;52003.001;Vakuumleitung lose, hab wieder richtig gemacht, laeuft.;EL
03.01.2025;22:53;30983000;52003.001;Routinekontrolle Temperiergeraet T2. Temperatur stabil.;PB
03.01.2025;23:35;30983000;52003.001;Werkzeug gereinigt und geschmiert;PB
03.01.2025;23:41;30983000;52003.001;Stoerung: Duese leckt minimal, kurzer Stillstand zum Abdichten.;MA
04.01.2025;00:43;30983000;52003.001;Routinekontrolle Temperiergeraet T3. Temperatur stabil.;ML
04.01.2025;01:30;30983000;52003.001;Routinekontrolle Temperiergeraet T1. Temperatur stabil.;GS
04.01.2025;02:15;30983000;52003.001;Werkzeug gereinigt und geschmiert;OM
04.01.2025;06:13;30983000;52003.001;Kollege hat heute alles bissel schmutzig gelassen, ich sauber gemacht.;IS
04.01.2025;10:35;30983000;52003.001;Stoerung: Auswerfer faehrt nicht, Reset noetig.;OM
04.01.2025;13:11;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;ML
04.01.2025;13:30;30983000;52003.001;Ausschuss-Erfassung: 0;MR
04.01.2025;13:41;30983000;52003.001;Ausschuss-Erfassung: 0;SR
04.01.2025;13:42;30983000;52003.001;Masterbatchnachfuellung am Dosiergeraet durchgefuehrt.;IS
04.01.2025;14:41;30983000;52003.001;Stoerung: Auswerfer faehrt nicht, Reset noetig.;AP
04.01.2025;16:41;30983000;52003.001;Teileauswurf leicht verzoegert, Mechanik geoelt.;SR
04.01.2025;17:22;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;MR
04.01.2025;17:46;30983000;52003.001;Routinekontrolle Temperiergeraet T3. Temperatur stabil.;DR
04.01.2025;20:02;30983000;52003.001;Korrektur: P130 1000bar Neu: 1100 bar;IS
04.01.2025;20:05;30983000;52003.001;Werkzeug gereinigt und geschmiert;AJ
04.01.2025;22:03;30983000;52003.001;Schichtübergabe;AJ
04.01.2025;22:45;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;AP
05.01.2025;00:25;30983000;52003.001;Korrektur: P130 1000bar Neu: 1100 bar;GS
05.01.2025;02:45;30983000;52003.001;Musterung;OM
05.01.2025;05:03;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;SK
05.01.2025;05:19;30983000;52003.001;Ausschuss-Erfassung: 0;SR
05.01.2025;09:50;30983000;52003.001;Werkzeug gereinigt und geschmiert;EL
05.01.2025;10:16;30983000;52003.001;Stoerung: Duese leckt minimal, kurzer Stillstand zum Abdichten.;GS
05.01.2025;12:12;30983000;52003.001;Korrektur: P130 1100bar Neu: 1000 bar;DR
05.01.2025;14:31;30983000;52003.001;Korrektur: P130 1000bar Neu: 1100 bar;MR
05.01.2025;18:11;30983000;52003.001;Prozessdaten minimal angepasst wegen Stoerung (Genehmigung liegt vor).;SR
05.01.2025;18:35;30983000;52003.001;Werkzeug gereinigt und geschmiert;EL
05.01.2025;21:53;30983000;52003.001;Masterbatchnachfuellung am Dosiergeraet durchgefuehrt.;DR
06.01.2025;00:20;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;OM
06.01.2025;00:31;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;MR
06.01.2025;04:00;30983000;52003.001;Stoerung: Auswerfer faehrt nicht, Reset noetig.;EL
06.01.2025;04:00;30983000;52003.001;Routinekontrolle Temperiergeraet T2. Temperatur stabil.;DN
06.01.2025;04:37;30983000;52003.001;Nach Lotwechsel: Produktion von Tube laeuft stabil.;AP
06.01.2025;08:00;30983000;52003.001;Routinekontrolle Temperiergeraet T2. Temperatur stabil.;ML
06.01.2025;09:20;30983000;52003.001;Qualifizierung OQ/PQ: Werte dokumentiert, alles im gruenen Bereich.;AP
06.01.2025;10:22;30983000;52003.001;Teileauswurf leicht verzoegert, Mechanik geoelt.;FS
06.01.2025;10:39;30983000;52003.001;Masterbatchnachfuellung am Dosiergeraet durchgefuehrt.;WS
06.01.2025;10:44;30983000;52003.001;Teileauswurf leicht verzoegert, Mechanik geoelt.;AP
06.01.2025;18:07;30983000;52003.001;Operator meldet Farbumschlag nicht sauber, Geraet gereinigt.;AJ
06.01.2025;18:57;30983000;52003.001;Schmierzyklus durchgefuehrt. Keine Auffaelligkeiten.;PB
06.01.2025;20:56;30983000;52003.001;Stoerung: Duese leckt minimal, kurzer Stillstand zum Abdichten.;AP
